英語4 Unit8 Health	
歯が痛む	have a toothache
熱がある	have a fever
咳をする	cough
出血する	bleed
を拾う	pick up
自力で	on one's own
一分かそこら	a minute or so
アレルギー	allergy
一人っ子	an only child
風邪をひく	have a cold
に対してアレルギー体質の	be allergic to
食習慣	eating	habit
菜食主義者	vegetarian
に勤務する	work for
のことで文句を言う	complain that s+v
を述べる	mention
人に～するように助言する	advise 人 to do
原因	cause
不眠	sleeplessness
睡眠剤	sleeping pill
重大な	serious
負傷	injury
リスク	risk
ひび	fracture
スポーツ関連の	sports-related
アキレス腱	Achilles' tendon
破裂	rupture
エアロビクス	aerobics
ポンと出る	pop
反響する	echo
痛み	pain
もちろん	naturally
すぐに	right away
外科医	surgeon
を説明する	explain that s+v
