LEAP 1514-1566 英語→日本語	
estate	財産
assert	財産
revenue	歳入
deficit	赤字
commerce	商業
output	生産高
subsidy	補助金
monopoly	独占
transaction	取り引き
corporation	企業
venture	事業
headquarters	本社
personnel	全職員
expertise	専門的知識
quota	ノルマ
warehouse	倉庫
toil	骨折って働く
undertake	を引き受ける
merge	合併する
comprise	～から成る
component	構成要素
framework	枠組
prototype	原型
dimension	側面
margin	余白
relevant	関連のある
compatible	適合する
correspond	一致する
identical	同一の
equivalent	等しい
random	無作為の
warrior	戦士
assault	襲撃
troop	軍隊
torture	拷問
dispute	論争
riot	暴動
persecution	迫害
dominate	～を支配する
slaughter	～を虐殺する
suppress	を鎮圧する
surrender	降伏する
contend	戦う
hostile	敵意のある
wreck	残骸
toll	犠牲者
disrupt	をかき乱す
interfere	邪魔する
confront	に立ちふさがる
hinder	～を妨げる
explode	爆発する
collide	衝突する
